dispatch_id,equipment_id,customer_id,dispatch_date,technician,service_type,hours_spent,labor_cost,resolution_summary,status
DISP-10017,EQ-7388,C-1484,12/24/2022,Patricia Davis,Software Update,2.2,330.0,Calibrated inverter output. System operating within normal parameters.,completed
DISP-10018,EQ-6037,C-1262,03/07/2023,Mike Johnson  ,Software Update,4.2,504.0,Performed standard preventive check. Updated firmware to v4.2.1.,Pending
DISP-10019,EQ-7252,C-1083,2022-01-02T00:00:00Z,Michael Brown,Preventive Maintenance,6.7,502.5,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Pending
DISP-10020,EQ-5522,C-1021,07-16-2024,James Wilson,Corrective Maintenance,3.7,444.0,Calibrated inverter output. System operating within normal parameters.,Cancelled
DISP-10021,EQ-6164,C-1465,2023-07-01,Michael   Brown,Installation,7.5,712.5,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Pending
DISP-10022,EQ-6565,C-1071,2022/10/08,   Sarah Williams,Emergency Repair,8.6,$1032.00,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,COMPLETED
DISP-10023,EQ-7055,C-1125,2022-12-03T00:00:00Z,Michael Brown,Preventive Maintenance,4.6,345.0,Calibrated inverter output. System operating within normal parameters.,Completed
DISP-10024,EQ-5498,C-1503,12/03/2023,Patricia Davis,Corrective Maintenance,6.3,945.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,In Progress
DISP-10025,EQ-6672,C-1226,05/11/2023,David Lee,Preventive Maintenance,8.8,1320.0,Replaced burnt fuse block. Test run completed successfully.,In Progress
DISP-10026,EQ-5388,C-1508,2023-08-16T00:00:00Z,James Wilson,Installation,9.3,883.5,Replaced faulty thermal sensor and verified system bus voltage.,Pending
DISP-10027,EQ-5942,C-1023,08/04/2022,Jennifer Chen,Preventive Maintenance,5.0,750.0,Replaced faulty thermal sensor and verified system bus voltage.,Cancelled
DISP-10028,EQ-6418,C-1182,02/08/2022,Carlos Sanchez,Corrective Maintenance,8.5,USD 1020.00,Performed standard preventive check. Updated firmware to v4.2.1.,Pending
DISP-10029,EQ-6307,C-1124,02-29-2024,David Lee,Corrective Maintenance,1.7,204.0,Replaced faulty thermal sensor and verified system bus voltage.,In Progress
DISP-10030,EQ-7218,C-1474,06-27-2023,Michael Brown,Warranty Replacement,7.6,912.0,Replaced faulty thermal sensor and verified system bus voltage.,Cancelled
DISP-10031,EQ-5625,C-1140,2021/06/05,Maria Garcia,Diagnostic,10.3,1545.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,COMPLETED
DISP-10032,EQ-6531,C-1236,2023-12-17T00:00:00Z,Robert Martinez  ,Corrective Maintenance,7.7,1155.0,<html><body>Replaced faulty thermal sensor and verified system bus voltage.</body></html>,COMPLETED
DISP-10033,EQ-6216,C-1038,2021-09-12T00:00:00Z,Sarah Williams,Preventive Maintenance,2.7,202.5,Calibrated inverter output. System operating within normal parameters.,Pending
DISP-10034,EQ-5411,C-1328,2022/05/16,Jennifer Chen,Corrective Maintenance,2.0,190.0,Replaced faulty thermal sensor and verified system bus voltage.,In Progress
DISP-10035,EQ-6831,C-1005,09-30-2021,Patricia Davis,Warranty Replacement,7.2,540.0,Replaced faulty thermal sensor and verified system bus voltage.,In Progress
DISP-10036,EQ-5294,C-1405,2022-02-09,Jennifer Chen,Preventive Maintenance,11.4,1083.0,Replaced faulty thermal sensor and verified system bus voltage.,In Progress
DISP-10037,EQ-6396,C-1047,09/18/2022,Sarah Williams,Software Update,4.0,380.0,Performed standard preventive check. Updated firmware to v4.2.1.,Pending
DISP-10038,EQ-5310,C-1227,02-08-2022,Sarah Williams,Corrective Maintenance,5.6,672.0,<div>Replaced burnt fuse block. Test run completed successfully.</div>,COMPLETED
DISP-10039,EQ-6952,C-1492,07/02/2021,   Lisa Rodriguez,Corrective Maintenance,4.2,399.0,<html>Calibrated inverter output. System operating within normal parameters.</html>,In Progress
DISP-10040,EQ-5018,C-1052,09/19/2022,James Wilson,Diagnostic,11.2,1344.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,In Progress
DISP-10041,EQ-6258,C-1296,2023-07-01,Carlos Sanchez,Installation,4.2,399.0,Replaced faulty thermal sensor and verified system bus voltage.,Pending
DISP-10042,EQ-6011,C-1481,2022-08-11T00:00:00Z,Jennifer Chen,Preventive Maintenance,9.6,720.0,<strong>Replaced faulty thermal sensor and verified system bus voltage.</strong>,Completed
DISP-10043,EQ-5925,C-1255,2022/06/25,David Lee,Emergency Repair,6.1,457.5,<b>Replaced faulty thermal sensor and verified system bus voltage.</b>,COMPLETED
DISP-10044,EQ-5097,C-1284,03/08/2022,Mike Johnson,Preventive Maintenance,11.1,"$1,054.50",Replaced faulty thermal sensor and verified system bus voltage.,Pending
DISP-10045,EQ-6606,C-1391,2024-07-19T00:00:00Z,   ,Software Update,4.6,552,Calibrated inverter output. System operating within normal parameters.,COMPLETED
DISP-10046,EQ-5914,C-1323,02/01/2022,NULL,Preventive Maintenance,11.8,885.0,Replaced burnt fuse block. Test run completed successfully.,In Progress
DISP-10047,EQ-6172,C-1225,06-23-2021,James Wilson,Preventive Maintenance,9.2,1380.0,Calibrated inverter output. System operating within normal parameters.,completed
DISP-10048,EQ-5809,C-1282,11/10/2021,Patricia Davis,Software Update,12.0,900.0,Calibrated inverter output. System operating within normal parameters.,Completed
DISP-10049,EQ-5787,C-1274,2023-10-08T00:00:00Z,Amanda Thompson,Installation,0.6,57,<b>Replaced burnt fuse block. Test run completed successfully.</b>,completed
DISP-10050,EQ-5588,C-1463,2021-11-08T00:00:00Z,  David Lee  ,Installation,9.0,675.0,Replaced burnt fuse block. Test run completed successfully.,Completed
DISP-10051,EQ-5053,C-1250,04-29-2024,David Lee,Preventive Maintenance,0.7,USD 84.00,Replaced burnt fuse block. Test run completed successfully.,completed
DISP-10052,EQ-5620,C-1247,11/20/2023,Lisa Rodriguez,Corrective Maintenance,0.7,66.5,<strong>Replaced burnt fuse block. Test run completed successfully.</strong>,Pending
DISP-10053,EQ-7160,C-1500,04-10-2023,Patricia Davis,Preventive Maintenance,6.3,598.5,<html><body>Replaced faulty thermal sensor and verified system bus voltage.</body></html>,Pending
DISP-10054,EQ-7345,C-1431,04-07-2023,Maria   Garcia,Preventive Maintenance,1.8,135.0,Replaced faulty thermal sensor and verified system bus voltage.,Pending
DISP-10055,EQ-6048,C-1335,06/22/2022,Sarah   Williams,Emergency Repair,11.6,1102.0,<p>Performed standard preventive check. Updated firmware to v4.2.1.</p>,Cancelled
DISP-10056,EQ-6969,C-1074,12/22/2021,Carlos Sanchez,Warranty Replacement,3.9,585.0,Calibrated inverter output. System operating within normal parameters.,completed
DISP-10057,EQ-5532,C-1440,06/15/2024,  Jennifer Chen  ,Corrective Maintenance,9.4,705.0,Performed standard preventive check. Updated firmware to v4.2.1.,Pending
DISP-10058,EQ-5982,C-1487,2023-12-25T00:00:00Z,NULL,Emergency Repair,7.1,852.0,Calibrated inverter output. System operating within normal parameters.,In Progress
DISP-10059,EQ-6336,C-1100,06/19/2024,David Lee,Software Update,11.7,1111.5,Calibrated inverter output. System operating within normal parameters.,In Progress
DISP-10060,EQ-5068,C-1046,2022/10/13,Amanda Thompson,Software Update,8.2,1230.0,<strong>Calibrated inverter output. System operating within normal parameters.</strong>,In Progress
DISP-10061,EQ-6430,C-1332,2023/05/20,Sarah Williams,Warranty Replacement,6.7,502.5,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,In Progress
DISP-10062,EQ-7092,C-1375,09-26-2021,Patricia Davis  ,Warranty Replacement,1.9,180.5,Performed standard preventive check. Updated firmware to v4.2.1.,Pending
DISP-10063,EQ-7043,C-1309,05/23/2024,Lisa Rodriguez,Software Update,5.6,USD 420.00,Replaced burnt fuse block. Test run completed successfully.,Cancelled
DISP-10064,EQ-6560,C-1117,02-19-2024,Mike   Johnson,Emergency Repair,3.7,555.0,Replaced burnt fuse block. Test run completed successfully.,Completed
DISP-10065,EQ-5957,C-1083,06/18/2023,Patricia Davis,Preventive Maintenance,4.6,552.0,Calibrated inverter output. System operating within normal parameters.,Completed
DISP-10066,EQ-7441,C-1272,2023-03-26T00:00:00Z,Robert Martinez,Diagnostic,7.7,1155.0,Calibrated inverter output. System operating within normal parameters.,Cancelled
DISP-10067,EQ-6764,C-1303,08-09-2023,  Michael Brown  ,Software Update,10.0,1200.0,Replaced faulty thermal sensor and verified system bus voltage.,Cancelled
DISP-10068,EQ-5309,C-1054,01/20/2024,Patricia Davis,Software Update,7.7,731.5,<html><body>Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.</body></html>,completed
DISP-10069,EQ-6707,C-1296,2022-04-19T00:00:00Z,Patricia Davis  ,Emergency Repair,9.9,742.5,Replaced burnt fuse block. Test run completed successfully.,In Progress
DISP-10070,EQ-7003,C-1488,2024-06-12,Robert Martinez,Emergency Repair,7.4,888.0,Calibrated inverter output. System operating within normal parameters.,Completed
DISP-10071,EQ-6749,C-1250,2022/09/02,Amanda Thompson,Software Update,5.9,708.0,<b>Replaced burnt fuse block. Test run completed successfully.</b>,Completed
DISP-10072,EQ-6581,C-1379,2023-04-15,   Mike Johnson,Installation,5.9,560.5,Performed standard preventive check. Updated firmware to v4.2.1.,completed
DISP-10073,EQ-6999,C-1312,04/09/2024,Robert Martinez,Corrective Maintenance,8.2,615.0,<strong>Performed standard preventive check. Updated firmware to v4.2.1.</strong>,COMPLETED
DISP-10074,EQ-6999,C-1312,02-04-2023,   Jennifer Chen,Corrective Maintenance,5.5,522.5,Calibrated inverter output. System operating within normal parameters.,In Progress
DISP-10075,EQ-5114,C-1281,01/28/2022,   Sarah Williams,Emergency Repair,7.1,852.0,Calibrated inverter output. System operating within normal parameters.,Completed
DISP-10076,EQ-7006,C-1477,11/21/2022,Carlos Sanchez,Diagnostic,1.6,120.0,Replaced faulty thermal sensor and verified system bus voltage.,COMPLETED
DISP-10077,EQ-7302,C-1033,2023-07-29T00:00:00Z,Carlos Sanchez,Emergency Repair,7.2,684.0,Calibrated inverter output. System operating within normal parameters.,COMPLETED
DISP-10078,EQ-5567,C-1362,04-22-2022,   ,Warranty Replacement,3.3,495.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Cancelled
DISP-10079,EQ-5056,C-1067,11/10/2021,Amanda Thompson,Warranty Replacement,1.4,133.0,Calibrated inverter output. System operating within normal parameters.,completed
DISP-10080,EQ-5213,C-1063,04/12/2024,Jennifer Chen,Emergency Repair,5.0,750.0,Replaced burnt fuse block. Test run completed successfully.,In Progress
DISP-10081,EQ-5769,C-1471,2021/11/10,Robert Martinez,Installation,5.5,522.5,Replaced burnt fuse block. Test run completed successfully.,completed
DISP-10082,EQ-5077,C-1473,11/25/2023,Carlos Sanchez,Emergency Repair,9.5,1425.0,Replaced burnt fuse block. Test run completed successfully.,completed
DISP-10083,EQ-7028,C-1129,2024-04-18,Mike Johnson,Corrective Maintenance,0.7,52.5,Replaced faulty thermal sensor and verified system bus voltage.,Pending
DISP-10084,EQ-6131,C-1355,12-22-2023,Mike Johnson,Corrective Maintenance,5.5,412.5,Replaced burnt fuse block. Test run completed successfully.,COMPLETED
DISP-10085,EQ-5626,C-1258,11/10/2021,Mike Johnson,Preventive Maintenance,6.4,768.0,Performed standard preventive check. Updated firmware to v4.2.1.,Completed
DISP-10086,EQ-6956,C-1057,12/16/2022,   Maria Garcia,Corrective Maintenance,11.4,1368.0,Replaced faulty thermal sensor and verified system bus voltage.,Pending
DISP-10087,EQ-6262,C-1152,08-11-2022,Amanda Thompson,Corrective Maintenance,7.3,$547.50,<html>Replaced faulty thermal sensor and verified system bus voltage.</html>,Cancelled
DISP-10088,EQ-6816,C-1450,2022/04/23,Patricia Davis,Emergency Repair,0.7,52.5,Performed standard preventive check. Updated firmware to v4.2.1.,In Progress
DISP-10089,EQ-6075,C-1356,2022-05-17,Michael Brown,Diagnostic,11.7,1404.0,<html>Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.</html>,Cancelled
DISP-10090,EQ-5575,C-1275,08-06-2021,David Lee,Diagnostic,10.8,1026.0,Replaced faulty thermal sensor and verified system bus voltage.,In Progress
DISP-10091,EQ-5576,C-1079,2021-09-28T00:00:00Z,Robert Martinez,Software Update,9.5,1140.0,Replaced burnt fuse block. Test run completed successfully.,Pending
DISP-10092,EQ-5852,C-1493,07-11-2023,Robert Martinez,Diagnostic,0.6,72.0,Calibrated inverter output. System operating within normal parameters.,Pending
DISP-10093,EQ-7229,C-1269,2023/09/28,Sarah Williams,Installation,6.2,744.0,<html>Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.</html>,COMPLETED
DISP-10094,EQ-6079,C-1260,2023/07/24,Mike Johnson  ,Diagnostic,0.7,52.5,Calibrated inverter output. System operating within normal parameters.,completed
DISP-10095,EQ-6399,C-1098,09/04/2021,David Lee,Diagnostic,1.6,192.0,Calibrated inverter output. System operating within normal parameters.,Cancelled
DISP-10096,EQ-7449,C-1343,07/09/2021,James Wilson,Warranty Replacement,4.5,$337.50,Performed standard preventive check. Updated firmware to v4.2.1.,Pending
DISP-10097,EQ-6466,C-1236,2022-10-30T00:00:00Z,Maria Garcia  ,Software Update,2.1,157.5,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Cancelled
DISP-10098,EQ-6207,C-1282,06-08-2024,Sarah Williams,Software Update,1.0,75.0,Performed standard preventive check. Updated firmware to v4.2.1.,Pending
DISP-10099,EQ-5748,C-1242,08-11-2023,Carlos   Sanchez,Emergency Repair,1.0,120.0,<div>Replaced burnt fuse block. Test run completed successfully.</div>,Completed
DISP-10100,EQ-5023,C-1330,06-04-2024,Mike Johnson,Preventive Maintenance,11.0,1320.0,Calibrated inverter output. System operating within normal parameters.,completed
DISP-10101,EQ-5963,C-1477,09/02/2021,Carlos Sanchez,Software Update,8.4,798.0,Performed standard preventive check. Updated firmware to v4.2.1.,In Progress
DISP-10102,EQ-6327,C-1483,04/06/2022,Sarah Williams,Diagnostic,11.4,1368.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,COMPLETED
DISP-10103,EQ-5872,C-1499,05-08-2024,Michael Brown,Warranty Replacement,8.4,630.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,completed
DISP-10104,EQ-5440,C-1343,2024-06-09T00:00:00Z,Mike Johnson,Preventive Maintenance,9.4,1128.0,<html>Performed standard preventive check. Updated firmware to v4.2.1.</html>,Completed
DISP-10105,EQ-6524,C-1046,2023-06-03,Amanda Thompson,Installation,9.6,1440.0,Performed standard preventive check. Updated firmware to v4.2.1.,Cancelled
DISP-10106,EQ-5795,C-1375,2023-04-22,Maria Garcia,Diagnostic,7.7,924.0,Replaced burnt fuse block. Test run completed successfully.,Pending
DISP-10107,EQ-6249,C-1455,2024/06/14,Carlos Sanchez,Installation,4.9,367.5,Calibrated inverter output. System operating within normal parameters.,COMPLETED
DISP-10108,EQ-6430,C-1332,2022-05-31T00:00:00Z,Lisa Rodriguez,Installation,1.0,75.0,Calibrated inverter output. System operating within normal parameters.,Completed
DISP-10109,EQ-7128,C-1113,03/16/2024,Sarah   Williams,Installation,11.0,1320.0,Replaced faulty thermal sensor and verified system bus voltage.,Completed
DISP-10110,EQ-6809,C-1185,07/29/2024,Jennifer Chen,Preventive Maintenance,3.7,277.5,Calibrated inverter output. System operating within normal parameters.,Cancelled
DISP-10111,EQ-6181,C-1358,08-18-2021,Carlos Sanchez,Diagnostic,10.3,978.5,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Completed
DISP-10112,EQ-7237,C-1354,07/10/2024,Jennifer Chen,Preventive Maintenance,0.7,105.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Completed
DISP-10113,EQ-6015,C-1270,2021/09/06,Lisa Rodriguez,Emergency Repair,10.8,810.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,completed
DISP-10114,EQ-7326,C-1128,2024-06-14,David Lee,Corrective Maintenance,0.8,76.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,completed
DISP-10115,EQ-7406,C-1481,06-03-2024,Lisa Rodriguez,Preventive Maintenance,4.8,360.0,Calibrated inverter output. System operating within normal parameters.,COMPLETED
DISP-10116,EQ-5485,C-1513,2021-06-28T00:00:00Z,   Patricia Davis,Diagnostic,11.8,885.0,<b>Calibrated inverter output. System operating within normal parameters.</b>,Completed
DISP-10117,EQ-7266,C-1226,03/05/2024,David Lee,Emergency Repair,11.7,1404,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,In Progress
DISP-10118,EQ-6431,C-1125,07/24/2023,James Wilson  ,Warranty Replacement,7.2,1080.0,Replaced burnt fuse block. Test run completed successfully.,In Progress
DISP-10119,EQ-7029,C-1389,2023-07-09,Mike Johnson,Diagnostic,5.2,390.0,Performed standard preventive check. Updated firmware to v4.2.1.,completed
DISP-10120,EQ-6499,C-1225,2023/03/03,James Wilson,Installation,3.1,465.0,Calibrated inverter output. System operating within normal parameters.,COMPLETED
DISP-10121,EQ-5532,C-1440,2023-02-18,Patricia Davis,Diagnostic,7.4,888.0,Replaced burnt fuse block. Test run completed successfully.,In Progress
DISP-10122,EQ-6152,C-1474,2023-07-22T00:00:00Z,Patricia Davis,Corrective Maintenance,11.2,840.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,In Progress
DISP-10123,EQ-7403,C-1476,2022-02-19T00:00:00Z,Jennifer Chen,Preventive Maintenance,9.8,931.0,<html>Performed standard preventive check. Updated firmware to v4.2.1.</html>,Cancelled
DISP-10124,EQ-7214,C-1418,03/27/2023,Mike Johnson,Warranty Replacement,8.1,$1215.00,Replaced faulty thermal sensor and verified system bus voltage.,completed
DISP-10125,EQ-6873,C-1383,2023/02/11,Amanda Thompson,Preventive Maintenance,8.0,"$1,200.00",Replaced burnt fuse block. Test run completed successfully.,completed
DISP-10126,EQ-5927,C-1123,07/30/2021,Lisa Rodriguez,Corrective Maintenance,6.1,457.5,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,COMPLETED
DISP-10127,EQ-6252,C-1038,2024/06/15,   Robert Martinez,Diagnostic,1.1,165.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Cancelled
DISP-10128,EQ-6982,C-1001,2022-06-21T00:00:00Z,Carlos Sanchez,Software Update,11.8,1121.0,<div>Replaced faulty thermal sensor and verified system bus voltage.</div>,Pending
DISP-10129,EQ-7114,C-1503,05-08-2024,Sarah Williams,Corrective Maintenance,1.0,95.0,<html>Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.</html>,Cancelled
DISP-10130,EQ-6458,C-1488,03/02/2022,   Robert Martinez,Emergency Repair,8.2,1230.0,Replaced burnt fuse block. Test run completed successfully.,Completed
DISP-10131,EQ-7366,C-1444,2024-06-23T00:00:00Z,Lisa Rodriguez,Emergency Repair,10.9,1635.0,Replaced faulty thermal sensor and verified system bus voltage.,completed
DISP-10132,EQ-5131,C-1107,2023-12-25,Patricia Davis,Emergency Repair,1.2,90.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Cancelled
DISP-10133,EQ-5537,C-1090,02/01/2024,Michael Brown,Emergency Repair,7.9,1185.0,Replaced faulty thermal sensor and verified system bus voltage.,Cancelled
DISP-10134,EQ-6870,C-1069,2023/11/16,Sarah Williams,Corrective Maintenance,10.6,$1590.00,Calibrated inverter output. System operating within normal parameters.,completed
DISP-10135,EQ-5426,C-1436,11-07-2021,David Lee,Installation,11.7,1755.0,Replaced burnt fuse block. Test run completed successfully.,COMPLETED
DISP-10136,EQ-5188,C-1443,2022/01/14,,Warranty Replacement,3.1,232.5,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Pending
DISP-10137,EQ-6962,C-1143,2024/05/02,David Lee,Emergency Repair,3.4,255.0,Calibrated inverter output. System operating within normal parameters.,Pending
DISP-10138,EQ-5291,C-1242,04-12-2024,  Michael Brown  ,Diagnostic,4.4,418.0,Calibrated inverter output. System operating within normal parameters.,Cancelled
DISP-10139,EQ-6783,C-1199,2022-06-01T00:00:00Z,Maria Garcia,Warranty Replacement,5.8,551.0,<p>Replaced burnt fuse block. Test run completed successfully.</p>,Pending
DISP-10140,EQ-7497,C-1222,12/31/2021,Jennifer Chen,Warranty Replacement,8.7,826.5,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,In Progress
DISP-10141,EQ-5504,C-1053,2024/05/10,Carlos Sanchez,Corrective Maintenance,7.9,948.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Cancelled
DISP-10142,EQ-7035,C-1375,2023/06/09,Carlos Sanchez,Diagnostic,7.9,592.5,Calibrated inverter output. System operating within normal parameters.,COMPLETED
DISP-10143,EQ-5946,C-1181,2023/09/19,Robert Martinez,Software Update,4.7,$705.00,Performed standard preventive check. Updated firmware to v4.2.1.,Pending
DISP-10144,EQ-7190,C-1273,2021/11/02,David Lee,Warranty Replacement,7.0,525.0,Replaced faulty thermal sensor and verified system bus voltage.,Pending
DISP-10145,EQ-5741,C-1129,10/23/2022,Mike Johnson,Preventive Maintenance,10.7,1284.0,Performed standard preventive check. Updated firmware to v4.2.1.,Cancelled
DISP-10146,EQ-5639,C-1412,2021-06-09T00:00:00Z,Michael Brown,Diagnostic,8.7,1044.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,In Progress
DISP-10147,EQ-6115,C-1287,07/12/2022,Robert Martinez,Preventive Maintenance,5.1,765.0,Replaced faulty thermal sensor and verified system bus voltage.,Completed
DISP-10148,EQ-6030,C-1213,2022-01-28,Amanda Thompson,Preventive Maintenance,11.0,825.0,Calibrated inverter output. System operating within normal parameters.,Completed
DISP-10149,EQ-7268,C-1239,10/16/2022,David Lee,Installation,4.0,600.0,Replaced burnt fuse block. Test run completed successfully.,Cancelled
DISP-10150,EQ-6115,C-1287,2024-03-01T00:00:00Z,Michael Brown,Installation,1.4,210.0,Calibrated inverter output. System operating within normal parameters.,Cancelled
DISP-10151,EQ-6408,C-1126,06/05/2024,   Patricia Davis,Software Update,7.4,1110.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Cancelled
DISP-10152,EQ-7111,C-1098,05/04/2022,Jennifer Chen,Preventive Maintenance,1.6,192.0,Replaced faulty thermal sensor and verified system bus voltage.,Cancelled
DISP-10153,EQ-5518,C-1131,01/25/2023,Michael Brown,Installation,3.1,294.5,Calibrated inverter output. System operating within normal parameters.,completed
DISP-10154,EQ-6126,C-1186,09-19-2021,David Lee,Installation,11.3,1073.5,Replaced burnt fuse block. Test run completed successfully.,Cancelled
DISP-10155,EQ-6466,C-1236,2022-08-07,Michael Brown,Installation,7.0,525.0,Replaced faulty thermal sensor and verified system bus voltage.,Completed
DISP-10156,EQ-5879,C-1164,04/06/2024,Robert Martinez,Warranty Replacement,1.3,156.0,Performed standard preventive check. Updated firmware to v4.2.1.,In Progress
DISP-10157,EQ-6475,C-1365,2022-06-04,David Lee,Warranty Replacement,0.5,60.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,In Progress
DISP-10158,EQ-5486,C-1362,2023-05-20,Carlos Sanchez,Diagnostic,8.0,760.0,<b>Calibrated inverter output. System operating within normal parameters.</b>,completed
DISP-10159,EQ-6588,C-1506,10/24/2021,Patricia Davis,Corrective Maintenance,7.5,900.0,Replaced burnt fuse block. Test run completed successfully.,In Progress
DISP-10160,EQ-7144,C-1154,2022/08/03,Patricia Davis,Emergency Repair,2.3,$218.50,Replaced faulty thermal sensor and verified system bus voltage.,COMPLETED
DISP-10161,EQ-6575,C-1009,2022/11/07,   David Lee,Installation,6.9,655.5,Replaced burnt fuse block. Test run completed successfully.,Completed
DISP-10162,EQ-5060,C-1416,09/02/2023,Robert Martinez,Software Update,2.6,390.0,Calibrated inverter output. System operating within normal parameters.,Cancelled
DISP-10163,EQ-7402,C-1225,2022-04-10T00:00:00Z,Mike Johnson,Installation,6.5,780.0,Replaced faulty thermal sensor and verified system bus voltage.,Pending
DISP-10164,EQ-6992,C-1243,04/25/2024,Amanda Thompson,Software Update,2.4,228.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Pending
DISP-10165,EQ-6302,C-1318,12/01/2022,Sarah Williams,Installation,7.2,684.0,Calibrated inverter output. System operating within normal parameters.,Pending
DISP-10166,EQ-7488,C-1360,07/07/2021,Sarah Williams,Software Update,4.5,540.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,completed
DISP-10167,EQ-6298,C-1241,2021-12-20,Lisa Rodriguez,Emergency Repair,3.1,294,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,COMPLETED
DISP-10168,EQ-5601,C-1032,2021-10-09,Maria Garcia,Installation,1.6,240.0,Replaced faulty thermal sensor and verified system bus voltage.,COMPLETED
DISP-10169,EQ-5034,C-1073,10/17/2023,  David Lee  ,Emergency Repair,7.0,$1050.00,Calibrated inverter output. System operating within normal parameters.,Completed
