equipment_id,customer_id,model,serial_number,install_date,capacity_kw,voltage,warranty_expiration,status,location_notes
EQ-5855,C-1016,X-3000,SN-X3000-48217,2024-06-05,100,120V,2025/06/05,In Service,Rooftop solar coupler
EQ-6481,C-1265,X-7000,,07-18-2023,500,480V,07-17-2026,Maintenance,Substation B switchgear bay
EQ-7202,C-1295,X-5000,SN-X5000-57730,2023-04-18T00:00:00Z,250,240V,04-17-2024,Maintenance,Rooftop solar coupler
EQ-5763,C-1263,X-9000,SN-X9000-62120,2023-10-19,1000,480V,2024-10-18,IN SERVICE,Rooftop solar coupler
EQ-5105,C-1448,X-9000,SN-X9000-42580,2023/03/19,1000,480V,2024-03-18,IN SERVICE,High humidity bay installation
EQ-6822,C-1210,X-9000,SN-X9000-21605,2022/01/05,1000,480V,2025-01-04,IN SERVICE,<html>Backup unit near loading dock</html>
EQ-5234,C-1438,X-5000,SN-X5000-20714,2023-08-07,250,240V,2024-08-06T00:00:00Z,Decommissioned,<html>Substation B switchgear bay</html>
EQ-7235,C-1106,X-12000,SN-X12000-80513,01/10/2023,1500,600V,01-10-2024,Maintenance,Rooftop solar coupler
EQ-6230,C-1055,X-5000,SN-X5000-61420,04/12/2022,250,240V,2025-04-11,Decommissioned,Substation B switchgear bay
EQ-6793,C-1311,X-3000,SN-X3000-96870,2024-03-07,100,120V,03-07-2027,Decommissioned,Rooftop solar coupler
EQ-5618,C-1281,X-5000,SN-X5000-95809,2022/09/14,250,240V,09-13-2024,Standby,<div>Substation B switchgear bay</div>
EQ-6776,C-1346,X-7000,SN-X7000-15227,02-14-2022,500,480V,2023-02-14T00:00:00Z,Standby,Rooftop solar coupler
EQ-5669,C-1165,X-7000,SN-X7000-37409,2023/04/13,500,480V,2026-04-12T00:00:00Z,in service,Underground vault 4
EQ-7065,C-1304,X-5000,SN-X5000-43186,03/30/2022,250,240V,2023-03-30T00:00:00Z,decommissioned,High humidity bay installation
EQ-5676,C-1302,X-12000,SN-X12000-56014,2022-02-10,1500,600V,2025-02-09T00:00:00Z,Maintenance,Backup unit near loading dock
EQ-5909,C-1455,X-12000,SN-X12000-48115,2023-07-07T00:00:00Z,1500,600V,07-06-2026,IN SERVICE,Backup unit near loading dock
EQ-6235,C-1409,X-12000,SN-X12000-10270,07/29/2021,1500,600V,07-28-2024,In Service,Backup unit near loading dock
EQ-6279,C-1342,X-3000,SN-X3000-51934,12/14/2021,100,120V,2024-12-13,in service,High humidity bay installation
EQ-5922,C-1241,X-7000,SN-X7000-44040,2021-04-13T00:00:00Z,500,480V,04/13/2023,In Service,Underground vault 4
EQ-6482,C-1468,X-7000,SN-X7000-85305,01/27/2023,500,480V,01-26-2026,Maintenance,High humidity bay installation
EQ-6654,C-1455,X-3000,SN-X3000-47830,2021-05-14T00:00:00Z,100,120V,2022/05/14,in service,Rooftop solar coupler
EQ-5871,C-1276,X-5000,SN-X5000-39805,04/05/2023,250,240V,04-04-2026,IN SERVICE,
EQ-5856,C-1380,X-12000,SN-X12000-61516,12-18-2021,1500,600V,2022-12-18T00:00:00Z,in service,Backup unit near loading dock
EQ-6930,C-1324,X-9000,SN-X9000-78439,05-13-2024,1000,480V,2026-05-13T00:00:00Z,Maintenance,<div>Backup unit near loading dock</div>
EQ-5193,C-1054,X-12000,SN-X12000-15596,2023/03/24,1500,600V,2025/03/23,Maintenance,Rooftop solar coupler
EQ-7130,C-1362,X-3000,SN-X3000-94776,10/20/2021,100,120V,2024-10-19T00:00:00Z,in service,<p>Underground vault 4</p>
EQ-6828,C-1077,X-3000,SN-X3000-19188,06/19/2022,100,120V,06/19/2023,in service,Rooftop solar coupler
EQ-6774,C-1151,X-3000,SN-X3000-63786,08/17/2023,100,120V,08-16-2026,Decommissioned,Substation B switchgear bay
EQ-6377,C-1137,X-3000,SN-X3000-53231,2022-07-01,100,120V,2024/06/30,In Service,Primary power grid node
EQ-6224,C-1101,X-9000,SN-X9000-93905,2023/06/24,1000,480V,06/23/2025,in service,High humidity bay installation
EQ-5290,C-1138,X-5000,SN-X5000-61951,08-14-2022,250,240V,2023/08/14,In Service,Backup unit near loading dock
EQ-7476,C-1163,X-7000,SN-X7000-75771,2023-04-09T00:00:00Z,500,480V,2025-04-08T00:00:00Z,in service,High humidity bay installation
EQ-5825,C-1410,X-3000,SN-X3000-28705,2023-12-23T00:00:00Z,100,120V,2025-12-22,IN SERVICE,Rooftop solar coupler
EQ-6972,C-1442,X-3000,SN-X3000-78860,2022/06/22,100,120V,06/21/2024,Decommissioned,Rooftop solar coupler
EQ-5699,C-1515,X-7000,SN-X7000-40562,2021-12-12,500,480V,12-12-2022,In Service,Backup unit near loading dock
EQ-5624,C-1042,X-9000,SN-X9000-94426,2021-05-10T00:00:00Z,1000,480V,2023-05-10,Decommissioned,<div>Rooftop solar coupler</div>
EQ-7456,C-1500,X-9000,SN-X9000-31113,06/08/2024,1000,480V,2027/06/08,IN SERVICE,Underground vault 4
EQ-7414,C-1455,X-12000,SN-X12000-85986,2023-12-22T00:00:00Z,1500,600V,12/21/2026,in service,Substation B switchgear bay
EQ-5958,C-1311,X-12000,SN-X12000-52026,09/13/2023,1500,600V,2026-09-12,Maintenance,Backup unit near loading dock
EQ-5346,C-1463,X-5000,SN-X5000-87433,2023-07-22,250,240V,07/21/2026,in service,High humidity bay installation
EQ-7257,C-1025,X-12000,SN-X12000-79365,01/01/2022,1500,600V,2024/12/31,Decommissioned,Substation B switchgear bay
EQ-5581,C-1201,X-9000,SN-X9000-47848,08-05-2021,1000,480V,08/04/2024,IN SERVICE,Substation B switchgear bay
EQ-6093,C-1077,X-9000,SN-X9000-36388,06/18/2023,1000,480V,2024/06/17,In Service,<div>Substation B switchgear bay</div>
EQ-6952,C-1492,X-12000,SN-X12000-43835,07/08/2022,1500,600V,2025-07-07,In Service,   
EQ-7043,C-1309,X-9000,SN-X9000-36678,2023/05/04,1000,480V,2026/05/03,Maintenance,Underground vault 4
EQ-6800,C-1223,X-7000,SN-X7000-32738,05/01/2022,500,480V,2025-04-30,IN SERVICE,<p>Rooftop solar coupler</p>
EQ-5180,C-1359,X-3000,SN-X3000-91811,04/22/2021,100,120V,2024/04/21,Decommissioned,   
EQ-6247,C-1086,X-9000,SN-X9000-26621,12/07/2023,1000,480V,2026-12-06T00:00:00Z,Standby,High humidity bay installation
EQ-7021,C-1425,X-3000,SN-X3000-57396,2022-02-20T00:00:00Z,100,120V,2023-02-20T00:00:00Z,Standby,Primary power grid node
EQ-7256,C-1516,X-7000,SN-X7000-86823,2023-09-10,500,480V,2025/09/09,in service,High humidity bay installation
EQ-6538,C-1214,X-3000,SN-X3000-99479,07-18-2021,100,120V,2022-07-18T00:00:00Z,Decommissioned,Primary power grid node
EQ-6561,C-1038,X-5000,SN-X5000-36439,03/02/2022,250,240V,2023-03-02,IN SERVICE,Underground vault 4
EQ-5462,C-1395,X-9000,SN-X9000-52830,02-01-2023,1000,480V,2024-02-01T00:00:00Z,In Service,Backup unit near loading dock
EQ-6489,C-1107,X-12000,SN-X12000-50017,2022-03-09T00:00:00Z,1500,600V,03/08/2024,Maintenance,Rooftop solar coupler
EQ-5077,C-1473,X-9000,SN-X9000-62620,2024-06-21,1000,480V,2026-06-21,In Service,Substation B switchgear bay
EQ-6339,C-1394,X-5000,SN-X5000-14096,2023-08-04,250,240V,2024/08/03,Maintenance,Backup unit near loading dock
EQ-6381,C-1050,X-5000,SN-X5000-74268,12-11-2021,250,240V,2022/12/11,in service,Substation B switchgear bay
EQ-5474,C-1097,X-7000,SN-X7000-19121,2024-03-12,500,480V,03/12/2025,IN SERVICE,Underground vault 4
EQ-6506,C-1140,X-12000,SN-X12000-41508,08/25/2021,1500,600V,08/24/2024,in service,Underground vault 4
EQ-6709,C-1263,X-12000,SN-X12000-62673,2021-06-22T00:00:00Z,1500,600V,2022-06-22,In Service,
EQ-5876,C-1129,X-7000,SN-X7000-11511,01/15/2024,500,480V,01/14/2027,Maintenance,Rooftop solar coupler
EQ-5998,C-1387,X-3000,SN-X3000-80618,2021-11-15,100,120V,2023/11/15,Maintenance,Substation B switchgear bay
EQ-5060,C-1416,X-5000,SN-X5000-10854,2023-01-14,250,240V,2026/01/13,Maintenance,Rooftop solar coupler
EQ-7306,C-1285,X-5000,SN-X5000-59849,06/02/2024,250,240V,06/02/2025,IN SERVICE,Backup unit near loading dock
EQ-6967,C-1276,X-12000,SN-X12000-13734,10/06/2021,1500,600V,10-06-2022,In Service,Underground vault 4
EQ-6038,C-1067,X-7000,SN-X7000-50862,11/27/2021,500,480V,2024-11-26T00:00:00Z,in service,Primary power grid node
EQ-5431,C-1434,X-9000,SN-X9000-31098,06-01-2024,1000,480V,2027-06-01,Decommissioned,Primary power grid node
EQ-6385,C-1141,X-5000,SN-X5000-61375,03/22/2024,250,240V,03/22/2025,Standby,Primary power grid node
EQ-6021,C-1268,X-3000,SN-X3000-10579,08/15/2021,100,120V,08/15/2023,in service,Primary power grid node
EQ-5069,C-1150,X-7000,SN-X7000-47255,11/14/2021,500,480V,2023/11/14,IN SERVICE,Underground vault 4
EQ-5367,C-1402,X-5000,SN-X5000-15925,2022/04/03,250,240V,2023-04-03,IN SERVICE,Backup unit near loading dock
EQ-6880,C-1466,X-12000,SN-X12000-68556,2022-10-08,1500,600V,10/07/2024,Maintenance,Substation B switchgear bay
EQ-7109,C-1034,X-9000,SN-X9000-40427,07/27/2022,1000,480V,2024-07-26,in service,Backup unit near loading dock
EQ-6698,C-1077,X-3000,SN-X3000-95746,03/19/2024,100,120V,03-19-2025,In Service,Underground vault 4
EQ-6634,C-1165,X-9000,SN-X9000-29041,2023-02-19,1000,480V,2024-02-19,Maintenance,High humidity bay installation
EQ-7153,C-1065,X-7000,SN-X7000-54124,10-24-2021,500,480V,2022-10-24T00:00:00Z,IN SERVICE,<p>Underground vault 4</p>
EQ-7103,C-1209,X-12000,SN-X12000-93750,11/25/2023,1500,600V,11/24/2024,in service,<html><body>Substation B switchgear bay</body></html>
EQ-7182,C-1195,X-7000,SN-X7000-66807,12-15-2021,500,480V,2023-12-15T00:00:00Z,in service,Rooftop solar coupler
EQ-6445,C-1214,X-7000,SN-X7000-41933,06/11/2022,500,480V,06/10/2025,Decommissioned,Primary power grid node
EQ-7432,C-1452,X-9000,SN-X9000-85280,09-30-2021,1000,480V,2022/09/30,Maintenance,Underground vault 4
EQ-5314,C-1055,X-9000,SN-X9000-63723,2021-12-08T00:00:00Z,1000,480V,12-07-2024,Standby,Underground vault 4
EQ-6116,C-1328,X-12000,SN-X12000-17291,05/05/2024,1500,600V,05-05-2026,decommissioned,<div>Rooftop solar coupler</div>
EQ-6133,C-1051,X-9000,SN-X9000-49080,2021-05-15T00:00:00Z,1000,480V,05-15-2022,Maintenance,Backup unit near loading dock
EQ-7185,C-1404,X-12000,SN-X12000-96149,09/08/2022,1500,600V,2025-09-07,Standby,Primary power grid node
EQ-6537,C-1513,X-5000,SN-X5000-60712,2022/08/26,250,240V,08/25/2025,In Service,<p>Substation B switchgear bay</p>
EQ-5543,C-1300,X-3000,SN-X3000-43907,2024-04-07T00:00:00Z,100,120V,04/07/2027,Decommissioned,<div>Underground vault 4</div>
EQ-6723,C-1343,X-7000,SN-X7000-49022,2023-10-13,500,480V,10/12/2025,Decommissioned,Primary power grid node
EQ-5218,C-1365,X-5000,SN-X5000-53841,05-06-2022,250,240V,2024/05/05,in service,<html>Rooftop solar coupler</html>
EQ-7371,C-1466,X-7000,SN-X7000-51478,04/10/2021,500,480V,04-10-2023,IN SERVICE,Substation B switchgear bay
EQ-5086,C-1442,X-7000,SN-X7000-28446,08/23/2022,500,480V,08/23/2023,Decommissioned,Primary power grid node
EQ-7391,C-1256,X-7000,SN-X7000-37266,08/26/2022,500,480V,08-25-2025,In Service,Substation B switchgear bay
EQ-6974,C-1028,X-5000,SN-X5000-82040,02/11/2022,250,240V,2023-02-11,IN SERVICE,Underground vault 4
EQ-7184,C-1423,X-7000,SN-X7000-13820,11/06/2023,500,480V,2024/11/05,IN SERVICE,High humidity bay installation
EQ-6557,C-1515,X-9000,SN-X9000-95190,2023/07/15,1000,480V,2024-07-14T00:00:00Z,IN SERVICE,Substation B switchgear bay
EQ-6451,C-1488,X-3000,SN-X3000-98790,2021-09-03T00:00:00Z,100,120V,2022-09-03,Decommissioned,Rooftop solar coupler
EQ-6802,C-1057,X-5000,SN-X5000-68741,2021-05-17,250,240V,05/17/2023,Standby,Backup unit near loading dock
EQ-5385,C-1249,X-3000,SN-X3000-37252,2022-08-06T00:00:00Z,100,120V,08-05-2024,Decommissioned,   
EQ-6595,C-1068,X-5000,SN-X5000-53248,03/16/2024,250,240V,03/16/2027,in service,Rooftop solar coupler
EQ-6231,C-1030,X-12000,SN-X12000-27173,05/25/2021,1500,600V,2023-05-25,In Service,Rooftop solar coupler
EQ-5442,C-1463,X-5000,SN-X5000-77931,01/26/2022,250,240V,2023-01-26,in service,Primary power grid node
EQ-6004,C-1365,X-12000,SN-X12000-94093,2023-11-13T00:00:00Z,1500,600V,2026-11-12,in service,Primary power grid node
EQ-6259,C-1239,X-5000,SN-X5000-84368,2022/10/05,250,240V,2024/10/04,In Service,Underground vault 4
EQ-5832,C-1112,X-9000,SN-X9000-72245,2023-10-08,1000,480V,2024-10-07T00:00:00Z,in service,<b>Primary power grid node</b>
EQ-6591,C-1038,X-5000,SN-X5000-31992,07/10/2023,250,240V,07-09-2025,Standby,Underground vault 4
EQ-6840,C-1483,X-5000,SN-X5000-71357,2023/02/16,250,240V,02/15/2026,Standby,Primary power grid node
EQ-6897,C-1324,X-7000,SN-X7000-20577,2021/06/01,500,480V,06/01/2022,in service,Primary power grid node
EQ-7016,C-1491,X-7000,SN-X7000-79587,2022-10-03T00:00:00Z,500,480V,10-02-2025,IN SERVICE,Primary power grid node
EQ-5575,C-1275,X-9000,SN-X9000-45945,2023-10-08,1000,480V,2026-10-07,IN SERVICE,High humidity bay installation
EQ-6921,C-1481,X-3000,SN-X3000-49675,12/08/2021,100,120V,12-08-2023,Decommissioned,Substation B switchgear bay
EQ-7459,C-1478,X-12000,SN-X12000-97148,05/19/2024,1500,600V,2027-05-19,Decommissioned,Backup unit near loading dock
EQ-5014,C-1378,X-3000,SN-X3000-20831,2023/03/11,100,120V,2026-03-10,Standby,Primary power grid node
EQ-5051,C-1363,X-7000,SN-X7000-95196,05/09/2022,500,480V,2024-05-08,Maintenance,Rooftop solar coupler
EQ-7327,C-1428,X-12000,SN-X12000-33529,01-16-2023,1500,600V,01/16/2024,in service,Backup unit near loading dock
EQ-5058,C-1327,X-12000,SN-X12000-10064,08/29/2022,1500,600V,08-28-2024,Decommissioned,High humidity bay installation
EQ-7139,C-1339,X-3000,SN-X3000-29339,2022-08-29,100,120V,08/28/2024,IN SERVICE,Rooftop solar coupler
EQ-6464,C-1244,X-12000,SN-X12000-10508,04/23/2021,1500,600V,04/23/2023,Decommissioned,Backup unit near loading dock
EQ-6655,C-1260,X-12000,SN-X12000-93306,2024-02-27,1500,600V,2027/02/26,in service,<html><body>Substation B switchgear bay</body></html>
EQ-5030,C-1330,X-12000,SN-X12000-92756,2023-12-23T00:00:00Z,1500,600V,12-22-2026,in service,Primary power grid node
EQ-5604,C-1149,X-3000,SN-X3000-43610,09-25-2021,100,120V,09/24/2024,Decommissioned,High humidity bay installation
EQ-6865,C-1148,X-12000,SN-X12000-57081,2023-07-10,1500,600V,07/09/2026,Maintenance,Substation B switchgear bay
EQ-7108,C-1482,X-3000,SN-X3000-82759,2023/12/06,100,120V,2026-12-05T00:00:00Z,IN SERVICE,Primary power grid node
EQ-5751,C-1506,X-12000,SN-X12000-79578,01-30-2023,1500,600V,01-29-2025,Decommissioned,Substation B switchgear bay
EQ-6000,C-1048,X-12000,SN-X12000-95727,2024/02/11,1500,600V,2025-02-10,in service,<b>Primary power grid node</b>
EQ-7472,C-1101,X-9000,SN-X9000-77010,2023/05/14,1000,480V,05/13/2026,Maintenance,Underground vault 4
EQ-6932,C-1201,X-9000,SN-X9000-32022,11/12/2021,1000,480V,2022-11-12,Decommissioned,Rooftop solar coupler
EQ-6779,C-1104,X-7000,SN-X7000-86529,08-21-2022,500,480V,08/20/2024,In Service,Rooftop solar coupler
EQ-6516,C-1222,X-9000,SN-X9000-79337,01/01/2023,1000,480V,12/31/2024,Standby,<p>Primary power grid node</p>
EQ-7070,C-1331,X-3000,SN-X3000-57661,02-04-2022,100,120V,2023/02/04,Decommissioned,Primary power grid node
EQ-5194,C-1048,X-5000,SN-X5000-60536,08/08/2023,250,240V,08/07/2024,IN SERVICE,   
EQ-6551,C-1242,X-9000,SN-X9000-75519,09-23-2022,1000,480V,2024-09-22T00:00:00Z,In Service,Primary power grid node
EQ-5702,C-1441,X-9000,SN-X9000-21668,2023-08-08,1000,480V,08-07-2024,Maintenance,
EQ-5387,C-1344,X-12000,SN-X12000-44289,2022/09/12,1500,600V,09/11/2025,IN SERVICE,Substation B switchgear bay
EQ-5906,C-1120,X-12000,SN-X12000-30518,2022-10-30T00:00:00Z,1500,600V,2023-10-30T00:00:00Z,Standby,Underground vault 4
EQ-5329,C-1197,X-5000,SN-X5000-69151,2023-02-21,250,240V,2024/02/21,Decommissioned,Substation B switchgear bay
EQ-5780,C-1289,X-9000,SN-X9000-23346,03-30-2023,1000,480V,2026/03/29,IN SERVICE,Primary power grid node
EQ-5293,C-1002,X-12000,SN-X12000-11449,2021-10-25,1500,600V,2022-10-25,Standby,Underground vault 4
EQ-7427,C-1102,X-3000,SN-X3000-97535,10-22-2022,100,120V,10/22/2023,IN SERVICE,Rooftop solar coupler
EQ-7466,C-1401,X-7000,SN-X7000-66075,11/09/2022,500,480V,11-08-2025,Maintenance,<div>Rooftop solar coupler</div>
EQ-5652,C-1456,X-7000,SN-X7000-17922,2022-12-12,500,480V,2025/12/11,in service,High humidity bay installation
EQ-6795,C-1027,X-3000,SN-X3000-20386,2022/06/26,100,120V,2025-06-25,IN SERVICE,Substation B switchgear bay
EQ-7048,C-1242,X-7000,SN-X7000-32703,2021-06-29T00:00:00Z,500,480V,06/29/2022,Maintenance,High humidity bay installation
EQ-7066,C-1183,X-3000,SN-X3000-27994,2021-07-13,100,120V,2022-07-13T00:00:00Z,in service,Primary power grid node
EQ-5240,C-1353,X-12000,SN-X12000-93259,06-25-2021,1500,600V,2024-06-24,Maintenance,Primary power grid node
EQ-6407,C-1305,X-9000,SN-X9000-98257,03/30/2022,1000,480V,03/29/2025,Standby,Backup unit near loading dock
EQ-6061,C-1289,X-9000,SN-X9000-48840,2023/10/07,1000,480V,2026-10-06,IN SERVICE,Rooftop solar coupler
EQ-6511,C-1496,X-5000,SN-X5000-31973,08/02/2022,250,240V,08-02-2023,Standby,Underground vault 4
EQ-7448,C-1153,X-7000,SN-X7000-61444,2023/09/21,500,480V,09-20-2026,IN SERVICE,Underground vault 4
EQ-6493,C-1289,X-7000,SN-X7000-92967,01/08/2022,500,480V,01/08/2024,IN SERVICE,Primary power grid node
EQ-5245,C-1016,X-3000,SN-X3000-32795,10-13-2023,100,120V,2025/10/12,IN SERVICE,<strong>Primary power grid node</strong>
EQ-6848,C-1334,X-3000,SN-X3000-64273,2024-04-08,100,120V,04/08/2026,In Service,   
EQ-7465,C-1175,X-12000,SN-X12000-23661,10/28/2021,1500,600V,10/28/2022,in service,Underground vault 4
EQ-6993,C-1239,X-12000,SN-X12000-30572,12-28-2023,1500,600V,12-27-2025,In Service,Primary power grid node
EQ-7212,C-1035,X-3000,SN-X3000-61044,2023-02-18T00:00:00Z,100,120V,2026/02/17,in service,NULL
EQ-6434,C-1143,X-5000,SN-X5000-17785,07-29-2021,250,240V,07/29/2022,Standby,<div>Underground vault 4</div>
EQ-5203,C-1016,X-3000,SN-X3000-70645,09-27-2022,100,120V,09/27/2023,Maintenance,Rooftop solar coupler
EQ-7482,C-1362,X-7000,SN-X7000-33211,2024/03/02,500,480V,03/02/2027,Standby,Underground vault 4
EQ-6057,C-1171,X-5000,SN-X5000-51814,11-07-2022,250,240V,11-06-2025,Decommissioned,Substation B switchgear bay
EQ-6981,C-1089,X-9000,SN-X9000-85941,03/18/2023,1000,480V,03-17-2025,Standby,Substation B switchgear bay
EQ-6016,C-1093,X-12000,SN-X12000-34185,2022/03/06,1500,600V,2024/03/05,Decommissioned,Substation B switchgear bay
EQ-7392,C-1395,X-3000,SN-X3000-16622,01-12-2022,100,120V,01/12/2024,Decommissioned,   
EQ-6667,C-1007,X-5000,SN-X5000-13210,06-15-2023,250,240V,06-14-2026,Decommissioned,Substation B switchgear bay
EQ-5803,C-1072,X-12000,SN-X12000-72874,07/11/2022,1500,600V,07/10/2025,In Service,Substation B switchgear bay
EQ-6486,C-1249,X-7000,SN-X7000-56608,2023-01-12,500,480V,2024-01-12T00:00:00Z,in service,Underground vault 4
EQ-6454,C-1466,X-5000,SN-X5000-89726,2023-04-28,250,240V,2026-04-27T00:00:00Z,Maintenance,Underground vault 4
EQ-7152,C-1267,X-3000,SN-X3000-85864,04/05/2023,100,120V,04-04-2024,Decommissioned,High humidity bay installation
EQ-7316,C-1162,X-5000,SN-X5000-48153,2021/04/10,250,240V,2024-04-09,Decommissioned,Backup unit near loading dock
EQ-6394,C-1237,X-3000,SN-X3000-96717,12/18/2022,100,120V,12-17-2024,Decommissioned,   
EQ-6829,C-1402,X-5000,SN-X5000-66497,06/26/2023,250,240V,06/25/2025,In Service,High humidity bay installation
EQ-6904,C-1470,X-9000,SN-X9000-59829,05-11-2023,1000,480V,05/10/2024,Standby,Underground vault 4
EQ-7209,C-1273,X-7000,SN-X7000-69823,02/03/2024,500,480V,2025-02-02,IN SERVICE,Rooftop solar coupler
EQ-7403,C-1476,X-3000,SN-X3000-75812,2023-11-19,100,120V,2025-11-18,Decommissioned,Underground vault 4
EQ-5732,C-1043,X-5000,SN-X5000-92434,01-29-2022,250,240V,2024-01-29T00:00:00Z,Decommissioned,<html>Primary power grid node</html>
EQ-7297,C-1267,X-5000,SN-X5000-22134,09/26/2022,250,240V,09-25-2024,in service,Rooftop solar coupler
EQ-6196,C-1199,X-9000,SN-X9000-36644,2022-01-02,1000,480V,01/01/2025,In Service,Substation B switchgear bay
EQ-5168,C-1375,X-9000,SN-X9000-91735,07/24/2023,1000,480V,07/23/2024,IN SERVICE,Backup unit near loading dock
EQ-5597,C-1300,X-12000,SN-X12000-10378,2024-06-27,1500,600V,06/27/2025,IN SERVICE,High humidity bay installation
EQ-6673,C-1488,X-12000,SN-X12000-97295,05/09/2023,1500,600V,05/08/2026,Decommissioned,Primary power grid node
EQ-7186,C-1520,X-12000,SN-X12000-70822,2023-09-23T00:00:00Z,1500,600V,2026-09-22T00:00:00Z,Decommissioned,Underground vault 4
EQ-5397,C-1385,X-12000,SN-X12000-89489,05/12/2022,1500,600V,2023/05/12,Decommissioned,Primary power grid node
EQ-7029,C-1389,X-7000,SN-X7000-86923,03-29-2023,500,480V,03-28-2024,Decommissioned,High humidity bay installation
EQ-5016,C-1199,X-7000,SN-X7000-89119,2023-10-10T00:00:00Z,500,480V,10-09-2026,in service,<strong>Rooftop solar coupler</strong>
EQ-6943,C-1266,X-7000,SN-X7000-28216,03-10-2024,500,480V,03/10/2027,Maintenance,Primary power grid node
EQ-5284,C-1187,X-5000,SN-X5000-77272,05/13/2021,250,240V,2024-05-12,Decommissioned,Primary power grid node
EQ-6192,C-1514,X-3000,SN-X3000-16233,2022-12-30T00:00:00Z,100,120V,2025/12/29,IN SERVICE,Primary power grid node
EQ-5692,C-1191,X-9000,SN-X9000-87454,01/18/2023,1000,480V,2025-01-17,Decommissioned,NULL
EQ-5670,C-1385,X-9000,SN-X9000-24736,01/14/2024,1000,480V,2025-01-13,Standby,Backup unit near loading dock
EQ-6177,C-1121,X-9000,SN-X9000-91958,04/25/2024,1000,480V,04-25-2025,in service,High humidity bay installation
EQ-6475,C-1365,X-3000,SN-X3000-78295,01/21/2023,100,120V,2026-01-20T00:00:00Z,IN SERVICE,   
EQ-5623,C-1371,X-5000,SN-X5000-55365,2022-08-12,250,240V,08-11-2024,Standby,
EQ-5814,C-1250,X-12000,SN-X12000-11367,08-23-2022,1500,600V,08/22/2025,IN SERVICE,Substation B switchgear bay
EQ-7259,C-1276,X-12000,SN-X12000-99055,07-20-2022,1500,600V,2025-07-19,Decommissioned,<div>Rooftop solar coupler</div>
EQ-5269,C-1211,X-12000,SN-X12000-11291,2021/11/15,1500,600V,11/15/2023,Decommissioned,Underground vault 4
EQ-5173,C-1488,X-7000,SN-X7000-23303,2024-05-25T00:00:00Z,500,480V,2025-05-25T00:00:00Z,IN SERVICE,Backup unit near loading dock
EQ-5368,C-1154,X-5000,SN-X5000-25450,2022/05/24,250,240V,05/23/2024,Standby,High humidity bay installation
EQ-5749,C-1508,X-5000,SN-X5000-94196,09/19/2021,250,240V,2022-09-19,IN SERVICE,Primary power grid node
EQ-5370,C-1009,X-5000,SN-X5000-24213,2023-09-08T00:00:00Z,250,240V,09/07/2024,Standby,Backup unit near loading dock
EQ-6726,C-1406,X-12000,SN-X12000-59599,12/03/2023,1500,600V,2026-12-02,in service,Backup unit near loading dock
