claim_id,equipment_id,dispatch_id,part_id,claim_date,claim_amount,approved_amount,status,denial_reason,claim_notes
CLM-9360,EQ-5841,DISP-11135,PRT-2034,06-06-2024,1030.09,1030.09,Approved,N/A,Claim for replacement part PRT-2034 under equipment warranty.
CLM-9172,EQ-6350,DISP-11240,,12/27/2023,4383.57,NULL,Pending,<html></html>,Claim for replacement part N/A under equipment warranty.
CLM-9569,EQ-7017,DISP-12616,PRT-2091,2023/01/31,4405.25,NULL,Under Review,<strong></strong>,Claim for replacement part PRT-2091 under equipment warranty.
CLM-9618,EQ-7140,DISP-11845,PRT-2069,08/18/2023,1323.15,1323.15,Approved,N/A,Claim for replacement part PRT-2069 under equipment warranty.
CLM-9298,EQ-5220,DISP-10165,PRT-2042,2022/08/15,304.66,0.0,Rejected,Unauthorized modification detected,Claim for replacement part PRT-2042 under equipment warranty.
CLM-9992,EQ-7125,DISP-11424,,09-28-2021,4298.43,0.0,Rejected,Normal wear and tear excluded,  Claim for replacement part N/A under equipment warranty.  
CLM-9444,EQ-5212,DISP-12909,,05/15/2024,4213.28,4213.28,Approved,N/A,Claim for replacement part N/A under equipment warranty.
CLM-10182,EQ-6770,DISP-10170,PRT-2114,2021-08-09,1391.44,NULL,Pending,,   Claim for replacement part PRT-2114 under equipment warranty.
CLM-10050,EQ-6100,DISP-10099,PRT-2044,2022-08-05,772.63,772.63,Approved,N/A,Claim for replacement part PRT-2044 under equipment warranty.
CLM-9495,EQ-5864,DISP-13781,PRT-2126,2023-09-27,3358.73,3358.73,Approved,N/A,Claim for replacement part PRT-2126 under equipment warranty.
CLM-9656,EQ-5315,DISP-11437,PRT-2094,11-17-2021,1195.0,NULL,Pending,,Claim for replacement part PRT-2094 under equipment warranty.
CLM-9147,EQ-7449,DISP-12410,,09/05/2021,1170.7,1170.7,APPROVED,N/A,Claim for replacement part N/A under equipment warranty.
CLM-10001,EQ-7422,DISP-13250,PRT-2016,2023-10-12T00:00:00Z,2303.76,0.0,Rejected,Warranty expired prior to claim date,Claim for replacement part PRT-2016 under equipment warranty.
CLM-9195,EQ-6918,DISP-13672,,03/29/2023,482.42,NULL,Under Review,,Claim for replacement part N/A under equipment warranty.
CLM-9390,EQ-5991,DISP-14949,PRT-2068,07/19/2021,3357.12,3357.12,Approved,N/A,  Claim for replacement part PRT-2068 under equipment warranty.  
CLM-9250,EQ-6896,DISP-14492,PRT-2028,02/15/2024,1030.88,0.0,Rejected,Warranty expired prior to claim date,Claim for replacement part PRT-2028 under equipment warranty.
CLM-9651,EQ-5864,DISP-10974,PRT-2048,2022-12-21T00:00:00Z,1907.47,0.0,Rejected,Improper installation by non-certified party,Claim for replacement part PRT-2048 under equipment warranty.
CLM-9603,EQ-5549,DISP-11056,,2024/04/13,2430.21,0.0,Rejected,Normal wear and tear excluded,Claim for replacement part N/A under equipment warranty.
CLM-9085,EQ-7172,DISP-12117,PRT-2133,2023-10-12T00:00:00Z,4422.54,4422.54,Approved,N/A,Claim for replacement part PRT-2133 under equipment warranty.
CLM-10026,EQ-7171,DISP-14336,PRT-2138,09/12/2021,1776.7,NULL,Under Review,,Claim for replacement part PRT-2138 under equipment warranty.
CLM-9089,EQ-6373,DISP-10004,,2023-07-19T00:00:00Z,3742.3,0.0,Rejected,Unauthorized modification detected,Claim for replacement part N/A under equipment warranty.  
CLM-9872,EQ-5102,,PRT-2034,2023-09-17,3619.87,3619.87,APPROVED,N/A,Claim for replacement part PRT-2034 under equipment warranty.
CLM-9354,EQ-5256,DISP-12030,PRT-2044,12-13-2022,2954.35,2954.35,Approved,N/A,Claim for replacement part PRT-2044 under equipment warranty.  
CLM-9865,EQ-6838,,PRT-2126,01-17-2022,2431.26,0.0,Rejected,<div>Unauthorized modification detected</div>,Claim for replacement part PRT-2126 under equipment warranty.
CLM-9644,EQ-5614,,PRT-2133,2022-10-31T00:00:00Z,2740.38,NULL,Pending,,Claim for replacement part PRT-2133 under equipment warranty.
CLM-9033,EQ-7126,DISP-12389,PRT-2119,2024-04-03T00:00:00Z,4099.37,4099.37,APPROVED,N/A,Claim for replacement part PRT-2119 under equipment warranty.
CLM-9628,EQ-6208,DISP-13829,PRT-2149,2021/10/16,924.53,924.53,Approved,N/A,Claim for replacement part PRT-2149 under equipment warranty.
CLM-9391,EQ-5866,DISP-10808,,2024/07/28,4695.39,4695.39,APPROVED,<html><body>N/A</body></html>,Claim for replacement part N/A under equipment warranty.
CLM-10107,EQ-5556,,PRT-2070,08/05/2024,2175.42,2175.42,Approved,N/A,Claim for replacement part PRT-2070 under equipment warranty.
CLM-9163,EQ-6121,DISP-12924,PRT-2116,07/29/2022,568.82,568.82,APPROVED,N/A,Claim for replacement part PRT-2116 under equipment warranty.
CLM-9419,EQ-6676,DISP-10533,,12/11/2021,1481.44,1481.44,Approved,N/A,Claim for replacement part N/A under equipment warranty.
CLM-9373,EQ-5228,,,2022/04/17,3707.07,NULL,Under Review,,Claim for replacement part N/A under equipment warranty.
CLM-9301,EQ-6164,DISP-12448,,2023/01/19,560.57,560.57,APPROVED,N/A,Claim   for   replacement   part   N/A   under   equipment   warranty.
CLM-9203,EQ-6980,DISP-12888,PRT-2054,03/28/2024,1090.1,NULL,Under Review,,Claim for replacement part PRT-2054 under equipment warranty.
CLM-9971,EQ-6959,,PRT-2064,2024-02-27T00:00:00Z,4143.97,NULL,Under Review,,Claim for replacement part PRT-2064 under equipment warranty.
CLM-9407,EQ-6499,DISP-13252,PRT-2089,08/26/2022,3860.29,NULL,Pending,,Claim for replacement part PRT-2089 under equipment warranty.
CLM-9481,EQ-5655,DISP-14621,,06-06-2022,177.38,177.38,Approved,N/A,Claim for replacement part N/A under equipment warranty.
CLM-9730,EQ-7361,DISP-11348,,2021-08-19T00:00:00Z,3092.2,2854.67,APPROVED,N/A,Claim for replacement part N/A under equipment warranty.
CLM-9922,EQ-6662,DISP-12871,PRT-2008,01-19-2024,1146.57,NULL,Pending,,Claim for replacement part PRT-2008 under equipment warranty.
CLM-9454,EQ-5842,,,01/03/2024,3937.9,3937.9,Approved,<p>N/A</p>,Claim for replacement part N/A under equipment warranty.
CLM-9365,EQ-6679,DISP-11248,PRT-2008,2021/12/27,728.91,728.91,APPROVED,N/A,Claim for replacement part PRT-2008 under equipment warranty.
CLM-9981,EQ-6764,DISP-11120,PRT-2131,2024/06/07,1586.91,1586.91,Approved,N/A,Claim for replacement part PRT-2131 under equipment warranty.
CLM-9905,EQ-6278,DISP-13097,PRT-2089,10/21/2023,2326.7,2326.7,Approved,N/A,Claim for replacement part PRT-2089 under equipment warranty.
CLM-9403,EQ-5624,DISP-14100,,2022-07-24,2744.97,NULL,Pending,<html><body></body></html>,Claim for replacement part N/A under equipment warranty.
CLM-9894,EQ-5035,,PRT-2020,04/22/2023,1696.75,1696.75,Approved,N/A,Claim for replacement part PRT-2020 under equipment warranty.
CLM-9294,EQ-7077,DISP-13434,PRT-2059,2023-10-18T00:00:00Z,2339.21,2339.21,APPROVED,N/A,Claim for replacement part PRT-2059 under equipment warranty.
CLM-10068,EQ-7160,DISP-10418,PRT-2092,08/19/2021,1874.7,NULL,Pending,,Claim for replacement part PRT-2092 under equipment warranty.
CLM-9284,EQ-5498,DISP-14355,PRT-2023,2021-07-24,1832.98,1832.98,APPROVED,N/A,Claim for replacement part PRT-2023 under equipment warranty.
CLM-9881,EQ-7105,,PRT-2011,01-17-2023,4026.03,0.0,Rejected,Warranty expired prior to claim date,   Claim for replacement part PRT-2011 under equipment warranty.
CLM-9178,EQ-6258,DISP-10207,PRT-2081,10/20/2023,3207.61,NULL,Under Review,,Claim for replacement part PRT-2081 under equipment warranty.
CLM-9737,EQ-5861,DISP-12982,PRT-2032,2023-06-28T00:00:00Z,2562.64,NULL,Under Review,,   Claim for replacement part PRT-2032 under equipment warranty.
CLM-9528,EQ-5516,DISP-13612,PRT-2045,08/05/2023,306.82,306.82,Approved,N/A,Claim for replacement part PRT-2045 under equipment warranty.
CLM-9467,EQ-6560,DISP-11448,PRT-2060,04-23-2023,456.26,456.26,Approved,N/A,Claim for replacement part PRT-2060 under equipment warranty.
CLM-10014,EQ-6306,DISP-10475,,07/12/2022,2983.34,2983.34,APPROVED,N/A,Claim for replacement part N/A under equipment warranty.
CLM-9857,EQ-6642,,,2023-07-21T00:00:00Z,2971.16,2971.16,APPROVED,N/A,Claim for replacement part N/A under equipment warranty.
CLM-9875,EQ-5047,DISP-10694,PRT-2095,03/07/2023,2534.57,0.0,Rejected,Normal wear and tear excluded,Claim for replacement part PRT-2095 under equipment warranty.
CLM-10032,EQ-6836,DISP-12362,PRT-2011,11/17/2022,4175.63,4175.63,Approved,N/A,   Claim for replacement part PRT-2011 under equipment warranty.
CLM-9351,EQ-5471,,PRT-2126,2022-08-20,3014.94,3014.94,APPROVED,N/A,Claim for replacement part PRT-2126 under equipment warranty.
CLM-9499,EQ-5980,DISP-10962,,08/18/2021,1629.5,NULL,Under Review,,Claim for replacement part N/A under equipment warranty.
CLM-9248,EQ-5607,,PRT-2076,08/09/2023,4134.9,0.0,Rejected,Warranty expired prior to claim date,   Claim for replacement part PRT-2076 under equipment warranty.
CLM-9546,EQ-6244,,,2023-12-03T00:00:00Z,4525.99,4525.99,APPROVED,N/A,Claim for replacement part N/A under equipment warranty.
CLM-10095,EQ-7198,DISP-10726,NULL,2022-03-13T00:00:00Z,4177.12,NULL,Under Review,,Claim for replacement part N/A under equipment warranty.
CLM-10000,EQ-6511,,,01/29/2022,2624.08,NULL,Pending,,Claim for replacement part N/A under equipment warranty.
CLM-9512,EQ-5486,DISP-12250,PRT-2020,11-10-2021,2047.17,0.0,Rejected,Normal wear and tear excluded,Claim for replacement part PRT-2020 under equipment warranty.
CLM-9468,EQ-5133,DISP-11396,PRT-2048,05-26-2024,4342.36,3885.0,APPROVED,N/A,Claim for replacement part PRT-2048 under equipment warranty.
CLM-10124,EQ-6410,DISP-10064,PRT-2141,10/02/2021,342.1,0.0,Rejected,Unauthorized modification detected,Claim for replacement part PRT-2141 under equipment warranty.
CLM-10054,EQ-5739,DISP-14136,PRT-2130,2024-03-19T00:00:00Z,753.67,753.67,APPROVED,N/A,Claim for replacement part PRT-2130 under equipment warranty.
CLM-9897,EQ-6461,DISP-12134,,2022/02/05,1833.21,NULL,Under Review,,   Claim for replacement part N/A under equipment warranty.
CLM-9660,EQ-6873,,,09/30/2022,638.49,638.49,Approved,N/A,Claim   for   replacement   part   N/A   under   equipment   warranty.
CLM-9275,EQ-5744,DISP-12100,PRT-2086,2023-03-20T00:00:00Z,4380.48,4380.48,Approved,N/A,Claim for replacement part PRT-2086 under equipment warranty.
CLM-9765,EQ-7057,DISP-12772,PRT-2110,2023-05-01T00:00:00Z,996.41,NULL,Under Review,,Claim for replacement part PRT-2110 under equipment warranty.
CLM-9057,EQ-7179,DISP-10484,PRT-2032,02/15/2023,1985.0,1985.0,APPROVED,N/A,Claim for replacement part PRT-2032 under equipment warranty.
CLM-9417,EQ-6774,DISP-12683,,2022-12-26,3576.01,NULL,Pending,,Claim for replacement part N/A under equipment warranty.
CLM-10189,EQ-5555,DISP-12099,,2021-08-30T00:00:00Z,1982.35,NULL,Under Review,,Claim for replacement part N/A under equipment warranty.
CLM-9834,EQ-6594,DISP-13356,PRT-2143,2022-01-04T00:00:00Z,2341.85,2341.85,Approved,N/A,Claim for replacement part PRT-2143 under equipment warranty.
CLM-9424,EQ-7394,DISP-11015,PRT-2101,2024/08/05,2045.7,2045.7,Approved,N/A,Claim for replacement part PRT-2101 under equipment warranty.
CLM-9882,EQ-6923,DISP-13563,PRT-2056,10/13/2023,4376.44,0.0,Rejected,Normal wear and tear excluded,  Claim for replacement part PRT-2056 under equipment warranty.  
CLM-9045,EQ-5774,DISP-10016,PRT-2087,05-17-2024,1879.53,1879.53,APPROVED,N/A,Claim for replacement part PRT-2087 under equipment warranty.
CLM-9108,EQ-6850,,,2023/12/01,4370.37,0.0,Rejected,Improper installation by non-certified party,Claim for replacement part N/A under equipment warranty.
CLM-10031,EQ-6963,,PRT-2034,07/22/2023,2013.81,2013.81,APPROVED,N/A,   Claim for replacement part PRT-2034 under equipment warranty.
CLM-9015,EQ-6160,DISP-14755,PRT-2115,2023-12-04,4588.49,0.0,Rejected,<b>Unauthorized modification detected</b>,Claim for replacement part PRT-2115 under equipment warranty.
CLM-9369,EQ-5993,,PRT-2135,02/25/2023,2742.86,NULL,Under Review,,Claim for replacement part PRT-2135 under equipment warranty.
CLM-10126,EQ-5317,DISP-14441,PRT-2034,03-31-2022,2182.0,NULL,Pending,<html></html>,Claim for replacement part PRT-2034 under equipment warranty.
CLM-9573,EQ-5443,,PRT-2048,11-16-2023,3101.88,3101.88,APPROVED,N/A,Claim for replacement part PRT-2048 under equipment warranty.
CLM-9246,EQ-6612,DISP-13773,,01-01-2024,2423.51,NULL,Under Review,,Claim for replacement part N/A under equipment warranty.
CLM-9095,EQ-7399,DISP-10816,,2023/03/01,3109.06,3109.06,Approved,N/A,Claim for replacement part N/A under equipment warranty.
CLM-9148,EQ-7086,DISP-13951,PRT-2119,2022/02/08,2543.25,NULL,Under Review,,Claim for replacement part PRT-2119 under equipment warranty.  
CLM-9318,EQ-6802,,PRT-2088,2023/12/25,4284.9,0.0,Rejected,Warranty expired prior to claim date,Claim for replacement part PRT-2088 under equipment warranty.
CLM-9485,EQ-5216,DISP-11279,PRT-2092,09/24/2023,1507.35,NULL,Pending,,Claim for replacement part PRT-2092 under equipment warranty.
CLM-9941,EQ-5639,DISP-14279,PRT-2078,2021-07-30,212.9,NULL,Pending,,Claim for replacement part PRT-2078 under equipment warranty.
CLM-10045,EQ-6292,DISP-12060,NULL,06/11/2023,1069.07,0.0,Rejected,<p>Unauthorized modification detected</p>,Claim for replacement part N/A under equipment warranty.
CLM-9475,EQ-5050,DISP-13783,PRT-2024,2021-12-30,2599.9,2018.75,APPROVED,N/A,Claim for replacement part PRT-2024 under equipment warranty.
CLM-9539,EQ-5606,DISP-13341,,2022-10-28T00:00:00Z,2134.33,0.0,Rejected,Unauthorized modification detected,Claim for replacement part N/A under equipment warranty.
CLM-9321,EQ-6033,DISP-14220,,2022-01-18T00:00:00Z,725.63,NULL,Pending,,Claim for replacement part N/A under equipment warranty.
CLM-9181,EQ-7006,,PRT-2021,2023/01/19,1965.25,NULL,Pending,,Claim for replacement part PRT-2021 under equipment warranty.
CLM-10017,EQ-6800,DISP-14366,,2022/10/08,4755.56,4755.56,APPROVED,N/A,Claim for replacement part N/A under equipment warranty.
CLM-9251,EQ-7285,DISP-11939,PRT-2132,2021/07/14,2566.88,NULL,Pending,,Claim for replacement part PRT-2132 under equipment warranty.
CLM-9942,EQ-5739,DISP-14034,PRT-2113,2021-07-27,3104.45,NULL,Under Review,,   Claim for replacement part PRT-2113 under equipment warranty.
CLM-9173,EQ-6994,,PRT-2090,01/18/2022,4122.55,4122.55,Under Review,N/A,Claim for replacement part PRT-2090 under equipment warranty.
CLM-9002,EQ-7020,DISP-12090,PRT-2012,05/24/2022,4229.25,0.0,Rejected,Unauthorized modification detected,Claim for replacement part PRT-2012 under equipment warranty.
CLM-9209,EQ-6081,,PRT-2007,01/01/2022,4632.48,0.0,Rejected,Improper installation by non-certified party,Claim for replacement part PRT-2007 under equipment warranty.
CLM-9031,EQ-7226,DISP-14332,,2023-11-28T00:00:00Z,4146.82,4146.82,Approved,N/A,Claim for replacement part N/A under equipment warranty.
CLM-10154,EQ-7047,,PRT-2020,04/26/2024,704.35,0.0,Rejected,Improper installation by non-certified party,Claim for replacement part PRT-2020 under equipment warranty.
CLM-10016,EQ-5867,DISP-14284,PRT-2088,2024/02/13,4448.41,NULL,Under Review,,Claim for replacement part PRT-2088 under equipment warranty.
CLM-9146,EQ-6533,,,2023-12-04T00:00:00Z,4333.81,NULL,Pending,,Claim for replacement part N/A under equipment warranty.
CLM-9537,EQ-6899,DISP-14152,PRT-2035,05/10/2023,4303.16,NULL,Pending,,Claim for replacement part PRT-2035 under equipment warranty.
CLM-9694,EQ-7437,DISP-12914,PRT-2048,07-18-2022,4674.0,4674.0,APPROVED,N/A,Claim for replacement part PRT-2048 under equipment warranty.
CLM-9606,EQ-5050,DISP-12312,,02-27-2022,994.71,519.42,Approved,N/A,Claim for replacement part N/A under equipment warranty.
CLM-9874,EQ-6514,,PRT-2052,12/14/2022,1617.94,0.0,Rejected,Unauthorized modification detected,Claim   for   replacement   part   PRT-2052   under   equipment   warranty.
CLM-9179,EQ-7022,NULL,PRT-2013,2024-01-27,205.11,0.0,Rejected,Unauthorized modification detected,   Claim for replacement part PRT-2013 under equipment warranty.
CLM-9813,EQ-6743,DISP-12056,,12-13-2023,3472.23,3472.23,APPROVED,N/A,Claim for replacement part N/A under equipment warranty.
CLM-9554,EQ-5612,DISP-10748,,07-12-2024,1729.91,NULL,Pending,<b></b>,Claim for replacement part N/A under equipment warranty.
CLM-9272,EQ-7451,DISP-13199,PRT-2077,10/25/2022,574.21,NULL,Under Review,,Claim for replacement part PRT-2077 under equipment warranty.
CLM-10133,EQ-5004,DISP-14956,,07/14/2024,3478.25,0.0,Rejected,<html>Unauthorized modification detected</html>,Claim for replacement part N/A under equipment warranty.
CLM-9319,EQ-6465,DISP-13756,,2022-01-16T00:00:00Z,3387.44,NULL,Pending,,Claim for replacement part N/A under equipment warranty.
CLM-9928,EQ-6114,DISP-13198,PRT-2106,02-25-2022,293.97,293.97,APPROVED,<div>N/A</div>,Claim for replacement part PRT-2106 under equipment warranty.
CLM-9011,EQ-5998,DISP-10318,,01/01/2023,4101.96,NULL,Pending,,Claim for replacement part N/A under equipment warranty.
CLM-10018,EQ-7084,DISP-10887,,2023-11-21T00:00:00Z,4399.85,4399.85,Approved,N/A,Claim for replacement part N/A under equipment warranty.
CLM-9803,EQ-6324,DISP-12361,PRT-2074,2022-10-23,2962.93,NULL,Under Review,,Claim for replacement part PRT-2074 under equipment warranty.
CLM-9678,EQ-5195,DISP-11314,PRT-2002,01/01/2023,4375.1,NULL,Pending,,Claim for replacement part PRT-2002 under equipment warranty.
CLM-9916,EQ-7092,DISP-12810,PRT-2020,2021/08/21,4092.26,4092.26,APPROVED,N/A,Claim for replacement part PRT-2020 under equipment warranty.
CLM-9718,EQ-6432,DISP-11767,,12-29-2021,1408.03,NULL,Pending,,Claim for replacement part N/A under equipment warranty.
CLM-9925,EQ-5611,DISP-10844,PRT-2147,2021-07-08,3959.08,NULL,Pending,,Claim for replacement part PRT-2147 under equipment warranty.
CLM-9505,EQ-6039,,PRT-2075,06/07/2022,631.29,631.29,APPROVED,N/A,Claim for replacement part PRT-2075 under equipment warranty.
CLM-10168,EQ-5412,DISP-11788,,06-07-2022,2167.02,2167.02,APPROVED,<html><body>N/A</body></html>,Claim for replacement part N/A under equipment warranty.
CLM-10040,EQ-7365,,PRT-2111,2022-01-03T00:00:00Z,708.31,NULL,Under Review,<html></html>,Claim for replacement part PRT-2111 under equipment warranty.
CLM-9576,EQ-6535,DISP-11424,PRT-2131,2021/08/09,2964.41,0.0,Rejected,Warranty expired prior to claim date,Claim for replacement part PRT-2131 under equipment warranty.
CLM-9536,EQ-6334,DISP-14219,PRT-2016,2023/01/23,1520.35,1520.35,Approved,N/A,Claim for replacement part PRT-2016 under equipment warranty.
CLM-9589,EQ-6984,DISP-10261,PRT-2141,12/19/2021,4425.98,NULL,Under Review,,Claim for replacement part PRT-2141 under equipment warranty.
CLM-9855,EQ-6541,DISP-11154,PRT-2131,2022-06-26T00:00:00Z,463.69,0.0,Rejected,Warranty expired prior to claim date,Claim for replacement part PRT-2131 under equipment warranty.
CLM-9222,EQ-5359,DISP-13752,PRT-2144,12-05-2021,324.28,324.28,Under Review,<html>N/A</html>,Claim for replacement part PRT-2144 under equipment warranty.
CLM-10058,EQ-7267,,PRT-2106,01/06/2023,1948.89,0.0,Rejected,<strong>Normal wear and tear excluded</strong>,Claim for replacement part PRT-2106 under equipment warranty.
CLM-9592,EQ-6495,DISP-12357,,04/17/2023,4021.96,4021.96,APPROVED,N/A,Claim for replacement part N/A under equipment warranty.
CLM-9109,EQ-5001,DISP-11218,PRT-2022,04/02/2024,2660.17,0.0,Rejected,Improper installation by non-certified party,Claim for replacement part PRT-2022 under equipment warranty.
CLM-9695,EQ-6044,DISP-12936,,07-09-2022,1513.98,1513.98,Approved,N/A,Claim for replacement part N/A under equipment warranty.
